product,definition
s2_l2a,https://raw.githubusercontent.com/digitalearthafrica/config/master/products/esa_s2_l2a.odc-product.yaml
aerial_image_1999, https://raw.githubusercontent.com/DiegoHMM/cuborizonte_products/main/product_aerial_image_1999.yaml
